Model;Scenario;Region;Variable;Unit;2015;2016;2017;2018;2019;2020
Reference;IEA-WEI2020;EUR;Investment|Energy Supply|Extraction|Coal;billion US$2019;1,9192;1,9192;1,7656;1,305;1,6121;0,6141
Reference;IEA-WEI2020;USA;Investment|Energy Supply|Extraction|Gas;billion US$2019;69,826;62,3994;72,732;69,2609;66,1934;44,6402
Reference;IEA-WEI2020;CHN;Investment|Energy Supply|Extraction|Gas;billion US$2019;21,5039;18,3925;16,0088;16,9121;17,0877;11,994
Reference;IEA-WEI2020;IND;Investment|Energy Supply|Extraction|Gas;billion US$2019;5,3718;4,5946;3,9991;4,2248;4,2686;2,9962
Reference;IEA-WEI2020;RUS;Investment|Energy Supply|Extraction|Gas;billion US$2019;48,5211;42,6892;41,2118;36,002;34,2913;17,6511
Reference;IEA-WEI2020;JPN;Investment|Energy Supply|Extraction|Gas;billion US$2019;1,4392;1,231;1,0714;1,1319;1,1436;0,8027
Reference;IEA-WEI2020;EUR;Investment|Energy Supply|Extraction|Gas;billion US$2019;20,095;17,5067;14,7301;11,4829;12,0005;8,6122
Reference;IEA-WEI2020;USA;Investment|Energy Supply|Electricity|Nuclear;billion US$2019;6,5;10,3;11,1;5,9;4,5;4,8
Reference;IEA-WEI2020;CHN;Investment|Energy Supply|Electricity|Nuclear;billion US$2019;4,9696;4,6333;4,6333;5,0817;6,0531;5,0443
Reference;IEA-WEI2020;IND;Investment|Energy Supply|Electricity|Nuclear;billion US$2019;1,0067;0,9386;0,9386;1,0294;1,2262;1,0219
Reference;IEA-WEI2020;RUS;Investment|Energy Supply|Electricity|Nuclear;billion US$2019;3,3;2,7;2,8;3,4;4;3,6
Reference;IEA-WEI2020;JPN;Investment|Energy Supply|Electricity|Nuclear;billion US$2019;7,3237;6,8281;6,8281;7,4889;8,9206;7,4338
Reference;IEA-WEI2020;EUR;Investment|Energy Supply|Electricity|Nuclear;billion US$2019;5,0617;5,0617;4,9644;6,0351;10,0261;10,0261
Reference;IEA-WEI2020;USA;Investment|Energy Supply|Electricity|Gas and Oil;billion US$2019;13,9842;15,2109;13,9024;11,8579;10,6313;8,505
Reference;IEA-WEI2020;CHN;Investment|Energy Supply|Electricity|Gas and Oil;billion US$2019;7,2727;7,0706;6,4309;5,7912;5,9259;6,3299
Reference;IEA-WEI2020;IND;Investment|Energy Supply|Electricity|Gas and Oil;billion US$2019;2,5947;2,5226;2,2943;2,0661;2,1142;2,2583
Reference;IEA-WEI2020;RUS;Investment|Energy Supply|Electricity|Gas and Oil;billion US$2019;5,2981;6,0432;7,0366;8,1955;9,6028;6,4571
Reference;IEA-WEI2020;JPN;Investment|Energy Supply|Electricity|Gas and Oil;billion US$2019;3,1483;3,0608;2,7839;2,507;2,5653;2,7402
Reference;IEA-WEI2020;EUR;Investment|Energy Supply|Electricity|Gas and Oil;billion US$2019;6,0352;5,7872;5,4565;6,2833;8,0194;5,9526
Reference;IEA-WEI2020;USA;Investment|Energy Supply|Electricity|Renewables;billion US$2019;33,2203;44,8583;38,5503;41,2388;43,5691;38,315
Reference;IEA-WEI2020;CHN;Investment|Energy Supply|Electricity|Renewables;billion US$2019;96,0204;98,17;115,2265;92,6326;80,603;72,4281
Reference;IEA-WEI2020;IND;Investment|Energy Supply|Electricity|Renewables;billion US$2019;9,1979;10,8857;18,9666;13,459;12,9765;11,6604
Reference;IEA-WEI2020;RUS;Investment|Energy Supply|Electricity|Renewables;billion US$2019;1,919;0,9987;3,3034;1,646;1,4546;1,3636
